名称,是否城市,累计确诊,治愈,死亡,现存确诊
Москва,True,130716,23327,1290,106099
Московская область,False,24580,1987,240,22353
Санкт-Петербург,True,8945,1899,69,6977
Нижегородская область,False,5596,1085,37,4474
Республика Дагестан,False,3095,1318,26,1751
Мурманская область,False,2492,448,6,2038
Свердловская область,False,2362,501,4,1857
Краснодарский край,False,2319,858,24,1437
Тульская область,False,2158,482,16,1660
Калужская область,False,2115,404,19,1692
Ростовская область,False,2111,578,25,1508
Рязанская область,False,2028,317,7,1704
Республика Татарстан,False,1980,890,6,1084
Брянская область,False,1908,748,30,1130
Республика Северная Осетия — Алания,False,1871,797,13,1061
Республика Башкортостан,False,1784,518,16,1250
Ленинградская область,False,1775,558,6,1211
Курская область,False,1697,399,6,1292
Тамбовская область,False,1654,435,3,1216
Кабардино-Балкарская Республика,False,1548,310,7,1231
Красноярский край,False,1542,458,15,1069
Владимирская область,False,1504,149,15,1340
Ярославская область,False,1450,213,11,1226
Республика Чувашия,False,1439,344,8,1087
Ямало-Ненецкий автономный округ,False,1433,198,3,1232
Саратовская область,False,1413,277,6,1130
Новосибирская область,False,1376,455,16,905
Республика Ингушетия,False,1372,331,33,1008
Волгоградская область,False,1355,385,13,957
Челябинская область ,False,1307,360,5,942
Республика Мордовия,False,1296,312,9,975
Орловская область,False,1264,327,10,927
Ставропольский край,False,1248,408,23,817
Самарская область,False,1246,194,9,1043
Оренбургская область,False,1178,415,5,758
Хабаровский край,False,1074,451,7,616
Приморский край,False,1057,307,12,738
Смоленская область,False,1044,302,10,732
Липецкая область,False,1036,234,3,799
Республика Марий Эл,False,1033,758,7,268
Воронежская область,False,1028,494,12,522
Ивановская область,False,1023,272,12,739
Тюменская область,False,1018,323,6,689
Ульяновская область,False,1012,222,5,785
Белгородская область,False,994,269,8,717
Тверская область,False,962,440,10,512
Ханты-Мансийский АО,False,926,342,6,578
Пензенская область,False,924,548,10,366
Кировская область,False,911,404,5,502
Астраханская область,False,895,274,7,614
Пермский край,False,871,504,12,355
Республика Коми,False,867,360,16,491
Чеченская Республика,False,865,502,9,354
Калининградская область,False,848,277,11,560
Алтайский край,False,809,378,3,428
Республика Бурятия,False,736,256,5,475
Республика Саха (Якутия),False,687,211,4,472
Карачаево-Черкесская Республика,False,588,128,3,457
Новгородская область,False,570,144,5,421
Республика Калмыкия,False,567,183,6,378
Архангельская область,False,554,212,3,339
Республика Хакасия,False,532,154,9,369
Костромская область,False,433,142,3,288
Забайкальский край,False,432,157,1,274
Камчатский край,False,429,69,1,359
Удмуртская Республика,False,402,180,12,210
Омская область,False,389,70,7,312
Иркутская область,False,379,105,4,270
Псковская область,False,351,102,8,241
Вологодская область,False,346,165,2,179
Томская область,False,320,69,4,247
Кемеровская область,False,282,92,7,183
Республика Адыгея,False,276,207,8,61
Республика Крым,False,239,86,2,151
Еврейская автономная область,False,218,49,1,168
Республика Тыва,False,196,43,1,152
Амурская область,False,194,41,1,152
Республика Карелия,False,188,49,1,138
Магаданская область,False,163,97,3,63
Севастополь,True,132,56,2,74
Курганская область,False,95,40,0,55
Республика Алтай,False,63,30,0,33
Ненецкий автономный округ,False,50,7,0,43
Сахалинская область,False,44,25,0,19
Чукотский автономный округ,False,36,15,0,21
