序号,网站名称,网址,采集状态
1,设计师,http://webstack.cc/,完成
2,高效搜罗,http://gaoxiaosouluo.cn/,未完成
3,牛导航,http://ziliao6.com/,未完成
4,卖家大全,http://maijiadaquan.com/,完成
5,广告人导航,https://adnodoor.com/nav/,完成
6,造作家,https://www.hitsz.top/,未完成
7,魔米导航,http://www.nmomi.com/,未完成
8,域名购买&域名商场&行业导航,http://www.yichushou.com/,未完成
9,AVI导航 - 一键到达好去处,https://www.avi101.com/,未完成
10,DreamThere - 梦想导航,https://nav.dreamthere.com/,未完成
11,聚BT - 聚合最优质的BT、磁力资源,https://www.jubt.net/cn/index.html,未完成
12,狼牌工作网址导航,https://www.volf.club/,未完成
13,JKnear导航 - 建筑结构设计导航,http://jk.jknear.com:777/,未完成
14,快导航 - 简单的网址导航大全,https://wukandy.cn/,未完成
15,ShareHub - 资源和工具的集合,https://www.gezhipu.com/cn/index.html,未完成
16,喵帕斯 - 喵帕斯导航页,http://naspro.cc/,未完成
17,我的收藏夹 - 个人网址导航站,https://www.moyupai.com/,未完成
18,tool - wxuegao,http://tool.wxuegao.com/,未完成
19,vv.lc - 网址导航,http://vv.lc,未完成
20,程序员网址导航 - hujiangtao,https://web.hujiangtao.cn/,未完成
21,Pandaroll.cn 网址导航,http://pandaroll.cn/cn/index.html,未完成
22,QAdoc - 测试工作者导航,http://nav.qadoc.org/cn/index.html,未完成
23,t.hiihi,http://t.hiihi.cn/,未完成
24,Matrix Navigation,https://navi.sh-oo.com/,未完成
25,lerso.cn,https://lerso.cn/,未完成
26,wukandy.cn,https://wukandy.cn/,未完成
